Country,2005,2010
Australia,2981,5821
Austria,12386,11892
Belgium,20104,20361
Canada,23742,27312
Chile,2000,2688
CzechRepublic,20045,19508
Denmark,6266,6519
Estonia,355,1221
Finland,1227,1494
France,54633,54863
Germany,157788,148182
Greece,22951,23570
Hungary,22247,21715
Iceland,64,98
Ireland,1942,2674
Israel,6480,7445
Italy,103764,102274
Japan,185426,201813
Korea,50783,70117
Luxembourg,1063,942
Mexico,26631,39109
Netherlands,27349,25353
New Zealand,577,864
Norway,1704,1046
Poland,47729,52631
Portugal,8273,9603
Slovak Republic,8302,9202
Slovenia,2570,2608
Spain,45074,45691
Sweden,3364,3771
Switzerland,10846,10566
Turkey,38725,58548
United Kingdom,92345,85524
United States,460751,496145
OECD total,1470487,1571170
China,741019,1246713
India,232736,416704
