Country,2005,2010
Australia,882,1483
Austria,3773,3240
Belgium,6341,5811
Canada,6989,7469
Chile,1329,1398
CzechRepublic,8811,7096
Denmark,1929,1886
Estonia,191,538
Finland,402,450
France,18457,17389
Germany,51155,42578
Greece,9054,8346
Hungary,11712,9376
Iceland,19,22
Ireland,528,713
Israel,2656,2548
Italy,36314,34143
Japan,61173,65776
Korea,21127,23161
Luxembourg,184,150
Mexico,17954,21594
Netherlands,8050,6741
New Zealand,220,294
Norway,393,225
Poland,29679,25091
Portugal,3623,3842
Slovak Republic,4543,3805
Slovenia,1044,900
Spain,16182,14938
Sweden,1048,1077
Switzerland,3085,2744
Turkey,28045,28924
United Kingdom,28345,24064
United States,112721,110292
OECD total,497958,478104
China,1215180,1278890
India,620622,692425
