Country,2005,2010
Australia,3.38,3.925
Austria,3.283,3.67
Belgium,3.17,3.504
Canada,3.397,3.657
Chile,1.505,1.923
CzechRepublic,2.275,2.749
Denmark,3.248,3.456
Estonia,1.86,2.269
Finland,3.052,3.319
France,2.96,3.155
Germany,3.085,3.48
Greece,2.535,2.824
Hungary,1.899,2.316
Iceland,3.388,4.456
Ireland,3.677,3.751
Israel,2.44,2.922
Italy,2.857,2.995
Japan,3.031,3.068
Korea,2.404,3.027
Luxembourg,5.779,6.283
Mexico,1.483,1.811
Netherlands,3.397,3.761
New Zealand,2.621,2.937
Norway,4.337,4.65
Poland,1.608,2.098
Portugal,2.284,2.499
Slovak Republic,1.828,2.418
Slovenia,2.462,2.898
Spain,2.785,3.059
Sweden,3.21,3.502
Switzerland,3.516,3.851
Turkey,1.381,2.024
United Kingdom,3.258,3.554
United States,4.088,4.498
OECD total,,
China,0.61,0.975
India,0.375,0.602
